182&00&$+$& 27.0&208&00&$+$& 35.8&234&00&$+$& 37.3&260&00&$+$& 31.3&286&00&$+$& 18.9&312&00&$+$&  2.7&338&00&$-$& 14.0\\
198&30&$+$& 33.4&224&30&$+$& 37.7&250&30&$+$& 34.3&276&30&$+$& 24.1&302&30&$+$&  8.9&328&30&$-$&  8.0&354&30&$-$& 23.4\\
199&00&$+$& 33.5&225&00&$+$& 37.7&251&00&$+$& 34.2&277&00&$+$& 23.8&303&00&$+$&  8.6&329&00&$-$&  8.4&355&00&$-$& 23.6\\
199&30&$+$& 33.7&225&30&$+$& 37.7&251&30&$+$& 34.1&277&30&$+$& 23.6&303&30&$+$&  8.3&329&30&$-$&  8.7&355&30&$-$& 23.9\\[1ex]
200&00&$+$& 33.8&226&00&$+$& 37.7&252&00&$+$& 33.9&278&00&$+$& 23.3&304&00&$+$&  8.0&330&00&$-$&  9.0&356&00&$-$& 24.1\\
200&30&$+$& 34.0&226&30&$+$& 37.7&252&30&$+$& 33.8&278&30&$+$& 23.0&304&30&$+$&  7.6&330&30&$-$&  9.3&356&30&$-$& 24.4\\
201&00&$+$& 34.1&227&00&$+$& 37.7&253&00&$+$& 33.6&279&00&$+$& 22.8&305&00&$+$&  7.3&331&00&$-$&  9.6&357&00&$-$& 24.6\\
201&30&$+$& 34.2&227&30&$+$& 37.7&253&30&$+$& 33.5&279&30&$+$& 22.5&305&30&$+$&  7.0&331&30&$-$& 10.0&357&30&$-$& 24.9\\
202&00&$+$& 34.4&228&00&$+$& 37.7&254&00&$+$& 33.3&280&00&$+$& 22.2&306&00&$+$&  6.7&332&00&$-$& 10.3&358&00&$-$& 25.1\\
202&30&$+$& 34.5&228&30&$+$& 37.7&254&30&$+$& 33.2&280&30&$+$& 22.0&306&30&$+$&  6.3&332&30&$-$& 10.6&358&30&$-$& 25.4\\[1ex]
203&00&$+$& 34.6&229&00&$+$& 37.6&255&00&$+$& 33.0&281&00&$+$& 21.7&307&00&$+$&  6.0&333&00&$-$& 10.9&359&00&$-$& 25.6\\
203&30&$+$& 34.8&229&30&$+$& 37.6&255&30&$+$& 32.9&281&30&$+$& 21.4&307&30&$+$&  5.7&333&30&$-$& 11.2&359&30&$-$& 25.9\\
204&00&$+$& 34.9&230&00&$+$& 37.6&256&00&$+$& 32.7&282&00&$+$& 21.2&308&00&$+$&  5.4&334&00&$-$& 11.5&360&00&$-$& 26.1\\
204&30&$+$& 35.0&230&30&$+$& 37.6&256&30&$+$& 32.5&282&30&$+$& 20.9&308&30&$+$&  5.0&334&30&$-$& 11.8&   &  &   &     \\
205&00&$+$& 35.1&231&00&$+$& 37.6&257&00&$+$& 32.4&283&00&$+$& 20.6&309&00&$+$&  4.7&335&00&$-$& 12.2&   &  &   &     \\
205&30&$+$& 35.3&231&30&$+$& 37.5&257&30&$+$& 32.2&283&30&$+$& 20.3&309&30&$+$&  4.4&335&30&$-$& 12.5&   &  &   &     \\[1ex]
206&00&$+$& 35.4&232&00&$+$& 37.5&258&00&$+$& 32.0&284&00&$+$& 20.1&310&00&$+$&  4.1&336&00&$-$& 12.8&   &  &   &     \\
206&30&$+$& 35.5&232&30&$+$& 37.5&258&30&$+$& 31.8&284&30&$+$& 19.8&310&30&$+$&  3.7&336&30&$-$& 13.1&   &  &   &     \\
207&00&$+$& 35.6&233&00&$+$& 37.4&259&00&$+$& 31.7&285&00&$+$& 19.5&311&00&$+$&  3.4&337&00&$-$& 13.4&   &  &   &     \\
207&30&$+$& 35.7&233&30&$+$& 37.4&259&30&$+$& 31.5&285&30&$+$& 19.2&311&30&$+$&  3.1&337&30&$-$& 13.7&   &  &   &     \\
208&00&$+$& 35.8&234&00&$+$& 37.3&260&00&$+$& 31.3&286&00&$+$& 18.9&312&00&$+$&  2.7&338&00&$-$& 14.0&   &  &   &     \\
