                                    Sun                                   
     
                       Apparent Geocentric Positions                      
                     True Equator and Equinox of Date                     
     
     Julian Date         Right Ascension     Declination        Distance
   2455197.252778           18.7395911       - 23.046853     0.983306446
   2455197.253472           18.7396422       - 23.046799     0.983306435
   2455197.254167           18.7396933       - 23.046745     0.983306425
   2455197.254861           18.7397444       - 23.046691     0.983306414
   2455197.255556           18.7397955       - 23.046637     0.983306404
   2455197.256250           18.7398466       - 23.046582     0.983306394
   2455197.256944           18.7398977       - 23.046528     0.983306383
   2455197.257639           18.7399489       - 23.046474     0.983306373
   2455197.258333           18.7400000       - 23.046420     0.983306362
   2455197.259028           18.7400511       - 23.046366     0.983306352
   2455197.259722           18.7401022       - 23.046312     0.983306342
   2455197.260417           18.7401533       - 23.046257     0.983306331
   2455197.261111           18.7402044       - 23.046203     0.983306321
   2455197.261806           18.7402555       - 23.046149     0.983306311
   2455197.262500           18.7403066       - 23.046095     0.983306300
   2455197.263194           18.7403577       - 23.046041     0.983306290
   2455197.263889           18.7404088       - 23.045987     0.983306280
   2455197.264583           18.7404599       - 23.045932     0.983306269
   2455197.265278           18.7405110       - 23.045878     0.983306259
   2455197.265972           18.7405622       - 23.045824     0.983306249
   2455197.266667           18.7406133       - 23.045770     0.983306238
   2455197.267361           18.7406644       - 23.045716     0.983306228
   2455197.268056           18.7407155       - 23.045662     0.983306218
   2455197.268750           18.7407666       - 23.045607     0.983306207
   2455197.269444           18.7408177       - 23.045553     0.983306197
   2455197.270139           18.7408688       - 23.045499     0.983306187
   2455197.270833           18.7409199       - 23.045445     0.983306176
   2455197.271528           18.7409710       - 23.045390     0.983306166
   2455197.272222           18.7410221       - 23.045336     0.983306156
   2455197.272917           18.7410732       - 23.045282     0.983306145
   2455197.273611           18.7411243       - 23.045228     0.983306135
   2455197.274306           18.7411754       - 23.045174     0.983306125
   2455197.275000           18.7412266       - 23.045119     0.983306114
   2455197.275694           18.7412777       - 23.045065     0.983306104
   2455197.276389           18.7413288       - 23.045011     0.983306094
   2455197.277083           18.7413799       - 23.044957     0.983306084
   2455197.277778           18.7414310       - 23.044902     0.983306073
   2455197.278472           18.7414821       - 23.044848     0.983306063
   2455197.279167           18.7415332       - 23.044794     0.983306053
   2455197.279861           18.7415843       - 23.044740     0.983306043
   2455197.280556           18.7416354       - 23.044685     0.983306032
   2455197.281250           18.7416865       - 23.044631     0.983306022
   2455197.281944           18.7417376       - 23.044577     0.983306012
   2455197.282639           18.7417887       - 23.044523     0.983306001
   2455197.283333           18.7418398       - 23.044468     0.983305991
   2455197.284028           18.7418910       - 23.044414     0.983305981
   2455197.284722           18.7419421       - 23.044360     0.983305971
   2455197.285417           18.7419932       - 23.044305     0.983305960
   2455197.286111           18.7420443       - 23.044251     0.983305950
   2455197.286806           18.7420954       - 23.044197     0.983305940
   2455197.287500           18.7421465       - 23.044143     0.983305930
   2455197.288194           18.7421976       - 23.044088     0.983305920
   2455197.288889           18.7422487       - 23.044034     0.983305909
   2455197.289583           18.7422998       - 23.043980     0.983305899
   2455197.290278           18.7423509       - 23.043925     0.983305889
   2455197.290972           18.7424020       - 23.043871     0.983305879
   2455197.291667           18.7424531       - 23.043817     0.983305868
   2455197.292361           18.7425042       - 23.043762     0.983305858
   2455197.293056           18.7425553       - 23.043708     0.983305848
   2455197.293750           18.7426065       - 23.043654     0.983305838
   2455197.294444           18.7426576       - 23.043599     0.983305828
   2455197.295139           18.7427087       - 23.043545     0.983305817
   2455197.295833           18.7427598       - 23.043491     0.983305807
   2455197.296528           18.7428109       - 23.043436     0.983305797
   2455197.297222           18.7428620       - 23.043382     0.983305787
   2455197.297917           18.7429131       - 23.043328     0.983305777
   2455197.298611           18.7429642       - 23.043273     0.983305766
   2455197.299306           18.7430153       - 23.043219     0.983305756
   2455197.300000           18.7430664       - 23.043164     0.983305746
   2455197.300694           18.7431175       - 23.043110     0.983305736
   2455197.301389           18.7431686       - 23.043056     0.983305726
   2455197.302083           18.7432197       - 23.043001     0.983305716
   2455197.302778           18.7432708       - 23.042947     0.983305705
   2455197.303472           18.7433219       - 23.042893     0.983305695
   2455197.304167           18.7433730       - 23.042838     0.983305685
   2455197.304861           18.7434242       - 23.042784     0.983305675
   2455197.305556           18.7434753       - 23.042729     0.983305665
   2455197.306250           18.7435264       - 23.042675     0.983305655
   2455197.306944           18.7435775       - 23.042621     0.983305644
   2455197.307639           18.7436286       - 23.042566     0.983305634
   2455197.308333           18.7436797       - 23.042512     0.983305624
   2455197.309028           18.7437308       - 23.042457     0.983305614
   2455197.309722           18.7437819       - 23.042403     0.983305604
   2455197.310417           18.7438330       - 23.042349     0.983305594
   2455197.311111           18.7438841       - 23.042294     0.983305584
   2455197.311806           18.7439352       - 23.042240     0.983305574
   2455197.312500           18.7439863       - 23.042185     0.983305563
   2455197.313194           18.7440374       - 23.042131     0.983305553
   2455197.313889           18.7440885       - 23.042076     0.983305543
   2455197.314583           18.7441396       - 23.042022     0.983305533
   2455197.315278           18.7441907       - 23.041967     0.983305523
   2455197.315972           18.7442418       - 23.041913     0.983305513
   2455197.316667           18.7442930       - 23.041859     0.983305503
   2455197.317361           18.7443441       - 23.041804     0.983305493
   2455197.318056           18.7443952       - 23.041750     0.983305483
   2455197.318750           18.7444463       - 23.041695     0.983305472
   2455197.319444           18.7444974       - 23.041641     0.983305462
   2455197.320139           18.7445485       - 23.041586     0.983305452
   2455197.320833           18.7445996       - 23.041532     0.983305442
   2455197.321528           18.7446507       - 23.041477     0.983305432
   2455197.322222           18.7447018       - 23.041423     0.983305422
   2455197.322917           18.7447529       - 23.041368     0.983305412
   2455197.323611           18.7448040       - 23.041314     0.983305402
   2455197.324306           18.7448551       - 23.041259     0.983305392
   2455197.325000           18.7449062       - 23.041205     0.983305382
   2455197.325694           18.7449573       - 23.041150     0.983305372
   2455197.326389           18.7450084       - 23.041096     0.983305362
   2455197.327083           18.7450595       - 23.041041     0.983305352
   2455197.327778           18.7451106       - 23.040987     0.983305342
   2455197.328472           18.7451617       - 23.040932     0.983305332
   2455197.329167           18.7452128       - 23.040878     0.983305321
   2455197.329861           18.7452639       - 23.040823     0.983305311
   2455197.330556           18.7453150       - 23.040769     0.983305301
   2455197.331250           18.7453662       - 23.040714     0.983305291
   2455197.331944           18.7454173       - 23.040660     0.983305281
   2455197.332639           18.7454684       - 23.040605     0.983305271
   2455197.333333           18.7455195       - 23.040551     0.983305261
   2455197.334028           18.7455706       - 23.040496     0.983305251
   2455197.334722           18.7456217       - 23.040441     0.983305241
   2455197.335417           18.7456728       - 23.040387     0.983305231
   2455197.336111           18.7457239       - 23.040332     0.983305221
   2455197.336806           18.7457750       - 23.040278     0.983305211
   2455197.337500           18.7458261       - 23.040223     0.983305201
   2455197.338194           18.7458772       - 23.040169     0.983305191
   2455197.338889           18.7459283       - 23.040114     0.983305181
   2455197.339583           18.7459794       - 23.040059     0.983305171
   2455197.340278           18.7460305       - 23.040005     0.983305161
   2455197.340972           18.7460816       - 23.039950     0.983305151
   2455197.341667           18.7461327       - 23.039896     0.983305141
   2455197.342361           18.7461838       - 23.039841     0.983305131
   2455197.343056           18.7462349       - 23.039787     0.983305121
   2455197.343750           18.7462860       - 23.039732     0.983305111
   2455197.344444           18.7463371       - 23.039677     0.983305101
   2455197.345139           18.7463882       - 23.039623     0.983305091
   2455197.345833           18.7464393       - 23.039568     0.983305081
   2455197.346528           18.7464904       - 23.039513     0.983305071
   2455197.347222           18.7465415       - 23.039459     0.983305062
   2455197.347917           18.7465926       - 23.039404     0.983305052
   2455197.348611           18.7466438       - 23.039350     0.983305042
   2455197.349306           18.7466949       - 23.039295     0.983305032
   2455197.350000           18.7467460       - 23.039240     0.983305022
   2455197.350694           18.7467971       - 23.039186     0.983305012
   2455197.351389           18.7468482       - 23.039131     0.983305002
   2455197.352083           18.7468993       - 23.039076     0.983304992
   2455197.352778           18.7469504       - 23.039022     0.983304982
   2455197.353472           18.7470015       - 23.038967     0.983304972
   2455197.354167           18.7470526       - 23.038912     0.983304962
   2455197.354861           18.7471037       - 23.038858     0.983304952
   2455197.355556           18.7471548       - 23.038803     0.983304942
   2455197.356250           18.7472059       - 23.038748     0.983304932
   2455197.356944           18.7472570       - 23.038694     0.983304922
   2455197.357639           18.7473081       - 23.038639     0.983304913
   2455197.358333           18.7473592       - 23.038584     0.983304903
   2455197.359028           18.7474103       - 23.038530     0.983304893
   2455197.359722           18.7474614       - 23.038475     0.983304883
   2455197.360417           18.7475125       - 23.038420     0.983304873
   2455197.361111           18.7475636       - 23.038366     0.983304863
   2455197.361806           18.7476147       - 23.038311     0.983304853
   2455197.362500           18.7476658       - 23.038256     0.983304843
   2455197.363194           18.7477169       - 23.038202     0.983304833
   2455197.363889           18.7477680       - 23.038147     0.983304824
   2455197.364583           18.7478191       - 23.038092     0.983304814
   2455197.365278           18.7478702       - 23.038037     0.983304804
   2455197.365972           18.7479213       - 23.037983     0.983304794
   2455197.366667           18.7479724       - 23.037928     0.983304784
   2455197.367361           18.7480235       - 23.037873     0.983304774
   2455197.368056           18.7480746       - 23.037819     0.983304764
   2455197.368750           18.7481257       - 23.037764     0.983304754
   2455197.369444           18.7481768       - 23.037709     0.983304745
   2455197.370139           18.7482279       - 23.037654     0.983304735
   2455197.370833           18.7482790       - 23.037600     0.983304725
   2455197.371528           18.7483301       - 23.037545     0.983304715
   2455197.372222           18.7483812       - 23.037490     0.983304705
   2455197.372917           18.7484323       - 23.037435     0.983304695
   2455197.373611           18.7484835       - 23.037381     0.983304686
   2455197.374306           18.7485346       - 23.037326     0.983304676
   2455197.375000           18.7485857       - 23.037271     0.983304666
   2455197.375694           18.7486368       - 23.037216     0.983304656
   2455197.376389           18.7486879       - 23.037162     0.983304646
   2455197.377083           18.7487390       - 23.037107     0.983304636
   2455197.377778           18.7487901       - 23.037052     0.983304627
   2455197.378472           18.7488412       - 23.036997     0.983304617
   2455197.379167           18.7488923       - 23.036942     0.983304607
   2455197.379861           18.7489434       - 23.036888     0.983304597
   2455197.380556           18.7489945       - 23.036833     0.983304587
   2455197.381250           18.7490456       - 23.036778     0.983304578
   2455197.381944           18.7490967       - 23.036723     0.983304568
   2455197.382639           18.7491478       - 23.036668     0.983304558
   2455197.383333           18.7491989       - 23.036614     0.983304548
   2455197.384028           18.7492500       - 23.036559     0.983304538
   2455197.384722           18.7493011       - 23.036504     0.983304529
   2455197.385417           18.7493522       - 23.036449     0.983304519
   2455197.386111           18.7494033       - 23.036394     0.983304509
   2455197.386806           18.7494544       - 23.036340     0.983304499
   2455197.387500           18.7495055       - 23.036285     0.983304489
   2455197.388194           18.7495566       - 23.036230     0.983304480
   2455197.388889           18.7496077       - 23.036175     0.983304470
   2455197.389583           18.7496588       - 23.036120     0.983304460
   2455197.390278           18.7497099       - 23.036065     0.983304450
   2455197.390972           18.7497610       - 23.036010     0.983304441
   2455197.391667           18.7498121       - 23.035956     0.983304431
   2455197.392361           18.7498632       - 23.035901     0.983304421
   2455197.393056           18.7499143       - 23.035846     0.983304411
   2455197.393750           18.7499654       - 23.035791     0.983304402
   2455197.394444           18.7500165       - 23.035736     0.983304392
   2455197.395139           18.7500676       - 23.035681     0.983304382
   2455197.395833           18.7501187       - 23.035626     0.983304373
   2455197.396528           18.7501698       - 23.035572     0.983304363
   2455197.397222           18.7502209       - 23.035517     0.983304353
   2455197.397917           18.7502720       - 23.035462     0.983304343
   2455197.398611           18.7503231       - 23.035407     0.983304334
   2455197.399306           18.7503742       - 23.035352     0.983304324
   2455197.400000           18.7504253       - 23.035297     0.983304314
   2455197.400694           18.7504764       - 23.035242     0.983304304
   2455197.401389           18.7505275       - 23.035187     0.983304295
   2455197.402083           18.7505786       - 23.035132     0.983304285
   2455197.402778           18.7506297       - 23.035077     0.983304275
   2455197.403472           18.7506808       - 23.035023     0.983304266
   2455197.404167           18.7507319       - 23.034968     0.983304256
   2455197.404861           18.7507830       - 23.034913     0.983304246
   2455197.405556           18.7508341       - 23.034858     0.983304237
   2455197.406250           18.7508852       - 23.034803     0.983304227
   2455197.406944           18.7509363       - 23.034748     0.983304217
   2455197.407639           18.7509874       - 23.034693     0.983304208
   2455197.408333           18.7510385       - 23.034638     0.983304198
   2455197.409028           18.7510896       - 23.034583     0.983304188
   2455197.409722           18.7511407       - 23.034528     0.983304179
   2455197.410417           18.7511918       - 23.034473     0.983304169
   2455197.411111           18.7512429       - 23.034418     0.983304159
   2455197.411806           18.7512940       - 23.034363     0.983304150
   2455197.412500           18.7513451       - 23.034308     0.983304140
   2455197.413194           18.7513962       - 23.034253     0.983304130
   2455197.413889           18.7514473       - 23.034198     0.983304121
   2455197.414583           18.7514984       - 23.034143     0.983304111
   2455197.415278           18.7515495       - 23.034088     0.983304101
   2455197.415972           18.7516006       - 23.034033     0.983304092
   2455197.416667           18.7516517       - 23.033978     0.983304082

